cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50.0,2786731030.027369,84671.932538694,1128809.297965531,983366.7505401409,0.0,0.0,0.0,0.0,95061178.66119176,1642417528.5398476,1049252322.8263303,0.0,0.0,0.0,5.0
60.0,3361919516.735971,524402.3829838025,1162989.369614177,1013142.857142857,0.0,-3.955236996035571e-12,6.24020442708035e-12,-1.413157140816766e-12,588746555.375915,1692149532.7886274,1081023428.5714285,0.0,-2.0409022899543544e-09,-2.7697879960008613e-10,5.0
70.0,3941389489.540696,460815.3356106458,1429508.815524759,1243667.541516346,340300.8130552845,0.0,0.0,0.0,517357377.2900721,2079935326.5885243,1326993266.7979412,17104601.868002158,0.0,0.0,5.0
80.0,4517888782.522079,559537.6095174012,1613783.708111374,1403055.203855028,1391407.943243733,0.0,0.0,0.0,628192874.2051864,2348055295.302049,1497059902.5133147,44586743.26913525,0.0,0.0,5.0
90.0,5101024762.405096,589581.5485750717,1834280.831132915,1593773.106318538,2871683.597674788,0.0,-6.360058373523315e-11,0.0,661923204.5852331,2668878609.2983913,1700555904.4418802,69662427.07634547,0.0,0.0,5.0
100.0,5742948601.909058,512541.0281762725,2103569.64613896,1826693.142875295,8937301.472828934,0.0,-6.857124779850975e-11,0.0,575429812.3335012,3060693835.132187,1949081583.4479396,157737934.7880156,0.0,0.0,5.0
