cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50.0,2738941598.052857,339373.2548894876,988847.2007413849,861438.2077879229,0.0,0.0,0.0,0.0,381014353.2644277,1438772677.078715,919154567.7097138,0.0,0.0,0.0,5.0
60.0,3287136633.9857,457792.529282661,1162989.369614177,1013142.857142857,0.0,0.0,0.0,0.0,513963672.6256435,1692149532.7886274,1081023428.5714285,0.0,0.0,0.0,5.0
70.0,3856024210.880958,679978.6751857746,1292276.294805915,1124968.947436635,175765.169677882,0.0,8.474435123652205e-11,0.0,763412058.6310692,1880262008.9426064,1200341866.9148896,12007621.599408103,0.0,0.0,5.0
80.0,4420234129.570634,747247.9245923109,1495079.210662914,1300382.332408339,508423.3793499058,0.0,0.0,0.0,838935244.9397875,2175340251.5145397,1387507948.6796978,18451090.664956816,0.0,0.0,5.0
90.0,4981998146.684447,821698.7101852356,1685522.752950188,1465105.537976882,1604611.077552298,0.0,0.0,0.0,922521141.9249641,2452435605.5425234,1563267609.021333,43776272.04827485,0.0,0.0,5.0
100.0,5555021504.962532,839786.511713654,1907285.3888094,1656918.039547329,3722357.338371139,0.0,0.0,0.0,942828316.7009194,2775100240.7176766,1767931548.197,69159851.54737684,0.0,0.0,5.0
