cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50.0,2667847679.614004,0.0,1118818.960941866,974663.6283445067,0.0,0.0,0.0,0.0,0.0,1627881588.1704152,1039966091.4435887,0.0,0.0,0.0,5.0
60.0,3225840810.873496,403195.7330662151,1162989.369614177,1013142.857142857,0.0,-3.488195415812449e-11,-4.148197093409535e-09,0.0,452667849.5134397,1692149532.7886274,1081023428.5714285,0.0,-1.7999088345592238e-08,0.0,5.0
70.0,3772935503.308752,169463.102231896,1494542.341530938,1299917.970092202,540668.4789218168,0.0,-6.638471268934649e-11,-2.329288164538473e-11,190256224.87574965,2174559106.9275146,1387012474.0883796,21107746.40307267,0.0,-4.565404802495407e-09,5.0
80.0,4319085236.264315,133618.607995631,1731644.364645218,1504998.19925144,1580325.349278143,0.0,0.0,0.0,150013611.19669494,2519542550.558792,1605833078.6012864,43691289.70636616,0.0,0.0,5.0
90.0,4868187580.25316,130141.4264945052,1958261.010793464,1701009.153156206,2457767.259057225,0.0,0.0,0.0,146109779.525381,2849269770.70449,1814976766.417672,57828192.505381204,0.0,0.0,5.0
100.0,5481243144.839918,506750.7351435375,2014373.335901446,1749543.232877053,6250723.079490145,0.0,0.0,0.0,568929050.3456496,2930913203.7366037,1866762629.4798157,114632803.24146073,0.0,0.0,5.0
